genes	podo	mesa	endo
4933401J01RIK	0	0	0
GM26206	0	0	0
XKR4	12.289660600989	0.094122834297335	0
GM18956	1.10506647952064	0	0
GM37180	7.75020272234141	0.245216306515901	0
GM37363	4.31725493512426	0.0450958155337344	0.126336591300934
GM37686	1.18753696002068	0	0.195485220181886
GM1992	0	0	0
GM37329	1.54180434969444	0.048954281033947	0
GM7341	0.645845125060114	0	0.304654004724606
GM38148	6.56710961164689	0.0334325883422407	0.258421936311439
GM19938	13.8413923293442	0	0
GM10568	0	0	0
GM38385	0	0	0
GM27396	0	0	0
GM37381	0	0.076284671056369	0.0413650452162734
RP1	0	0.0169039544018987	0.0600354563483055
GM6101	0	0	0.0852746980357824
GM37483	0	0.0678564394116098	0
SOX17	1.4310233375307	1.82685724736592	66.8575801158239
GM37587	0.0729271275493257	0.103564233205515	8.71046149423999
GM7357	0.0495480582983951	0.36466307495205	9.86757781713792
GM22307	0	0	28.5379479499508
GM38076	0	0	0
GM37323	0.254190533351958	0.0375233650634285	0.590479937771649
GM7369	0	0.111166977906931	1.22131048345991
GM6085	0.331222152291682	0.493205921096703	0.120980640360175
GM6119	0.667928192822042	0.199911345968245	0.201359236574561
GM25493	1.39986794038384	0	0
GM2053	0.78288255994392	3.54655524817354	1.27431727588503
GM6123	2.69585685667886	3.25508289393452	1.71074410563415
MRPL15	4.6273675875182	7.0917914025281	7.94952497351628
GM37144	1.53354721931726	0.799742561493647	2.33981191232094
LYPLA1	10.7466146784208	17.1330748151145	21.1903334728376
GM37988	0	0	0
TCEA1	37.6786834901952	43.3610684774633	38.1822564055902
GM6104	0	1.27247392199396	2.40959628305078
GM37277	9.43138809093599	8.75013792296369	11.6316148961195
RGS20	1.01779882879962	0.519964242900135	0.62800002719515
GM17100	0	0.370216750319224	0
GM37079	0	0	0
GM16041	0.0213842172264839	0.0838005030772247	0.0854807308632514
GM17101	0	0	0
ATP6V1H	11.760246814042	15.0814637103455	16.4241343730609
GM7182	0	0	0.165873797342159
GM37567	0.0663838215512842	0.21200534683043	0.0532775865091971
GM38264	0	0	0
OPRK1	0	0.0337453326115838	0.0450338765527168
GM36965	0	0	0
GM22463	0	0	0
GM37429	0	0	0.18817761536964
NPBWR1	2.12469808737269	0.0281831774975318	0.0810566524875182
GM19214	0	0	0
RB1CC1	85.0750129559974	38.1408779986788	45.4506615957605
4732440D04RIK	8.37200418449716	5.58229012947563	8.78135208582319
FAM150A	0	0	0.222069807320085
GM2147	0.107264527702422	0.635601188703246	0
GM7417	0	0	0
GM19026	0	0.114848003665439	0
ST18	0	0.0155784276124426	0.0492598580547048
GM42492	0	0.0345450964277286	0.0416533858162814
GM7449	0	0	0
GM37108	0.33982177485844	1.193238306637	0
GM37275	0	0	0
GM37225	0	0	0
GM37489	0	0	0
GM5694	0	0	0
PCMTD1	113.838261532923	90.233855882549	53.0560744851296
GM26983	10.0598229338643	41.450129110136	22.9791741247937
GM38372	28.8230313730578	57.7422681942608	31.4246376838432
GM9826	0.105530459125246	0.14196816966907	0
NRAS-PS2	0.42496834077353	0	0
GM23274	0	0	0
GM19002	0	0	0.0557528870306294
GM26901	0.29743610262272	0.234945582588933	0.388515301727669
GM18984	0	0	0
GM30414	0	0.0400817763177532	0.521620231201821
GM37791	0	0.280994269507813	0
GM7470	0	0	0.0579568590236087
RPS2-PS2	0	0	0
GM38216	0	0	0
SNTG1	0	0.151395610579205	0.0567619188611338
GM38024	0	0.326110450276059	0
GM16284	1.66106372407181	0	0.282109608374985
GM38259	0	0.23459677287296	0.174781234705583
GM23358	0	0	0
GM37005	0	0.178784005705992	0
GM15452	0	0	0
GM36964	1.83847050695333	1.21764183453386	0
GM24276	1.31078543508669	0.730585100720313	0
GM6152	0	0	0
GM7445	0	0	0
GM7493	0.109492065817648	0	0
GM37629	0	0.198194840611214	0.285010629508493
GM38008	0	0	0
GM37143	0	0.0308987284709509	0
GM6187	0	0.108387803459258	0.126478770473396
GM18299	0	0	0
GM7512	0	0.0860674838348965	0.136075095070774
GM24765	0	0	0
GM18300	0	0.222017691296346	0.113234609696163
RRS1	3.40725026379206	9.43587394742906	3.55005207885161
ADHFE1	2.00515218000973	0.789269376777908	16.272789658205
2610203C22RIK	0.0632588895422977	0.47238886460919	30.4175739238181
GM6161	0	0.1857996800433	2.08064064652328
3110035E14RIK	0.0210509929981104	0.14839072033985	8.59560340952966
GM29520	0	0	0
MYBL1	5.00468258852219	4.68579555730377	4.45250607232933
VCPIP1	33.4417726087493	40.4247327779417	34.5493503169577
1700034P13RIK	0.441867609947963	0.26302858897027	0.21137217833856
SGK3	19.8130655529196	10.2980204528299	19.7503657985941
GM6195	4.37267139931143	1.99994027831606	8.06949447971783
GM22607	0	4.79518838508709	17.1246748205839
MCMDC2	2.13519922697708	0.733386060053784	0.844711985781978
SNHG6	8.80446298116588	12.1616357634672	11.1860875177235
SNORD87	5.80589737116573	10.6782128284134	8.92970970899235
TCF24	0.896418846640674	11.279635756565	0.0289576960778584
E330040D14RIK	0	0	0
PPP1R42	0.44234862144672	0.0683206115041939	0
GM15818	0	0	0.370181767239208
GM24674	0	0	0
COPS5	41.5666617781598	32.6923456939249	37.1006280632209
CSPP1	8.00012982603128	16.0741732986205	15.1719226717402
1700047N06RIK	2.03069804161327	3.8272959119338	5.42576585495343
ARFGEF1	31.5185723723479	53.0418020471404	43.7681967880611
GM26348	4.89499240518254	23.7862111801661	14.3062029780389
GM37569	5.15210321102591	12.1745952309805	11.2866324857977
CPA6	0	0.0598687857917299	0.121828459993762
GM38005	0	0.0659611355796224	0.0442330126245757
GM15604	0	0.165585908817104	0.109346058539015
GM25253	0	0	0
GM15603	0	0	0
GM37133	0	0.0523927971315447	0.0828344751471414
GM5522	0	0	0
GM28659	0	0.132673196425335	0.209760027974711
GM22963	0	0	0.620021117307659
PREX2	6.35887837111614	370.041856543508	212.317399932734
GM24173	1.80425733190648	62.7484657175504	61.6285755478993
GM28686	0.562742472921571	29.0826749617234	13.7683396168955
GM37410	0	0.0342389902339215	0.145217989341162
A830018L16RIK	0	0.0219316031986995	0.0132222171027399
GM38178	0	0	0
GM29273	0	0	0
GM38069	0	0	0.11326457057319
GM7560	0.0785132109986797	0	0
GM22633	0	0	0
MIR6341	0	0	0
GM2383	0.263604003793535	0.357458418489478	0.30091603384005
GM6216	0	0	0
GM17644	0	0	0
GM29663	0	0	0
SULF1	158.994562909962	5.2033874830051	2.59683240081595
SLCO5A1	2.83016048772712	0.0774187079676079	0.194551346529797
GM37162	0	0	0.2889434868109
GM5250	0	0	0
GM29283	0	0	0
PRDM14	0.0885074469473733	0	0.0620935496227792
NCOA2	30.9527660782886	37.6485444143248	30.1331852052991
GM38376	6.39890776105088	9.52850265858938	7.75637562157606
GM37409	2.20472540914838	2.09845432440906	5.14070971247645
GM27881	6.94686902417441	13.4648853429002	2.62963149887564
GM38223	2.55086440726543	6.27978564148991	2.59663830732808
GM37702	4.05215154369062	14.2481079589484	4.67642538760509
GM23169	9.28175737475258	5.33279002187154	6.7700987909436
GM38120	5.3652038605172	11.1446840908871	7.38599529172774
GM38380	2.97485680187304	12.6517493185068	8.84610236978171
GM29570	0.423454912950178	1.03508471748576	0.716125532291634
GM7593	0.106431728574297	0.447933142423927	0
TRAM1	99.6047881379476	97.2385303324061	81.7413238870229
LACTB2	36.0417406376437	10.3893952951478	14.4326804213329
GM38319	4.31787055076802	2.53796851153111	5.10822579341004
XKR9	0	0	0
GM26273	0	0	0
GM5523	0.571357331978237	0.511736660884916	0.121784974578195
GM36947	0	0.0447749915904086	0
GM25491	0	0	0
GM37400	0	0	0.158889041069192
EYA1	7.49307556190404	0.0915666877958475	0.0431671878281587
GM22616	0	0	0
GM37444	0.624528776326628	0	0
GM9947	0	0	0
MSC	0	0.0408689282485811	0.0476903455045012
GM37412	0	0	0.106445533372933
SMT3H2-PS4	0	0.349649153079267	0
RPL5-PS1	0.460013645649982	0.405063349364795	0.512828883911323
TRPA1	0.0186854818598763	0.0236216176605275	0.0986818626878671
GM26345	0	0	0
GM10566	0	0	0
KCNB2	0	0.409418537978236	0.0933834199277252
GM38116	0	0.256047772369143	0
GM37138	0	0.0498096176739528	0
GM25227	0	0	0
GM25168	0	0	0
GM6060	0.590431244503984	0	0.899154130278837
GM28669	0	0	0
TERF1	8.90152817398482	16.6639630201519	18.6011892530795
GM37509	1.27561879759676	1.19446115193265	0.986788862394656
SBSPON	0.733227757460083	0.261392297505108	0.442765679331298
GM23259	0	0	0
GM7634	0	0	0
4930444P10RIK	0	0.100874737102169	0
RPL7	35.1683445683761	43.5816005825094	35.3933178863206
RDH10	17.541003276537	18.1602456797722	8.81010161281653
GM38249	0.268841288355221	0.0896616038956375	0.120908005552463
GM28095	0.0452422661398333	0.633266743750323	0.247417586891491
